
Date & Time: 2023/04/22 18:57:40, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:07:00, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:08:03, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:08:04, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:33:57, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:34:00, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:34:36, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:34:37, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:34:37, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:34:38, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:34:38, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:34:38, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:34:39, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:34:44, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:34:52, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:34:54, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:35:55, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:37:07, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:37:08, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:38:18, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:38:25, IP: ::1, COMP_NAME: LAPTOP-FRJ;
Date & Time: 2023/04/22 19:38:29, IP: ::1, COMP_NAME: LAPTOP-FRJ;
